Year,Date,For Model Use,Type,URL identifier,full URL,Scraped?,Fwango File Title,Open Division 1,Open Division 2,Open Division 3,Women Division 1,Women Division 2,tourney
2021,3/13/2021,NA,CASR 2021,casrmh,https://fwango.io/casrmh,X,NA,NA,NA,NA,NA,NA,CASRMH
2021,4/10/2021,NA,CASR 2021,casrsac,https://fwango.io/casrsac,X,NA,NA,NA,NA,NA,NA,CASRSAC
2021,5/8/2021,NA,CASR 2021,casrturlock,https://fwango.io/casrturlock,X,NA,NA,NA,NA,NA,NA,CASRTURLOCK
2021,5/22/2021,X,Tour Stop,2021florida,https://fwango.io/2021florida,X,NA,Premier,Contender,NA,NA,NA,2021FLORIDA
2021,5/22/2021,NA,CASR 2021,casrrsm6,https://fwango.io/casrrsm6,X,NA,NA,NA,NA,NA,NA,CASRRSM6
2021,6/5/2021,X,Spikeball Sanctioned,lafeyettemajor2021,https://fwango.io/lafeyettemajor2021,X,NA,Elite,NA,NA,NA,NA,LAFEYETTEMAJOR2021
2021,6/12/2021,X,Tour Stop,2021texas,https://fwango.io/2021texas,X,NA,Premier,Contender,NA,Women's,NA,2021TEXAS
2021,6/12/2021,X,Spikeball Sanctioned,mraminneapolis,https://fwango.io/mraminneapolis,X,NA,Expert,NA,NA,NA,NA,MRAMINNEAPOLIS
2021,6/19/2021,X,Tour Stop,2021erie,https://fwango.io/2021erie,X,NA,Premier,Contender,NA,Women's,NA,2021ERIE
2021,6/19/2021,NA,CASR 2021,casrslo,https://fwango.io/casrslo,X,NA,NA,NA,NA,NA,NA,CASRSLO
2021,6/26/2021,X,Spikeball Sanctioned,2021socalclassic,https://fwango.io/2021socalclassic,X,NA,Premier,Contender,NA,Womens,NA,2021SOCALCLASSIC
2021,6/26/2021,X,Spikeball Sanctioned,21-Jun,https://fwango.io/june21,X,NA,Expert,NA,NA,NA,NA,21-Jun
2021,7/3/2021,X,Spikeball Sanctioned,nmrasantafe2021,https://fwango.io/nmrasantafe2021,X,NA,Contender,NA,NA,NA,NA,NMRASANTAFE2021
2021,7/3/2021,NA,CASR 2021,casrwc,https://fwango.io/casrwc,X,NA,NA,NA,NA,NA,NA,CASRWC
2021,7/10/2021,X,Spikeball Sanctioned,2021af,https://fwango.io/2021af,X,NA,Elite,NA,NA,Womens Advanced,Womens Intermediate,2021AF
2021,7/10/2021,X,Tour Stop,2021rockhill,https://fwango.io/2021rockhill,X,NA,Premier,Contender,NA,Women's Advanced,NA,2021ROCKHILL
2021,7/17/2021,NA,CASR 2021,casrcamarillo,https://fwango.io/casrcamarillo,X,NA,NA,NA,NA,NA,NA,CASRCAMARILLO
2021,7/23/2021,X,Spikeball Sanctioned,ssnashville,https://fwango.io/ssnashville,X,NA,Expert,NA,NA,NA,NA,SSNASHVILLE
2021,7/24/2021,X,Tour Stop,2021seattle,https://fwango.io/2021seattle,X,NA,Premier,Contender,NA,Women's Advanced,NA,2021SEATTLE
2021,7/31/2021,X,Spikeball Sanctioned,2021buffalo,https://fwango.io/2021buffalo,X,NA,Expert,NA,NA,NA,NA,2021BUFFALO
2021,7/31/2021,X,Spikeball Sanctioned,2021tahoe,https://fwango.io/2021tahoe,X,NA,Premier,Contender,NA,NA,NA,2021TAHOE
2021,8/7/2021,X,Tour Stop,2021newengland,https://fwango.io/2021newengland,X,NA,Premier,Contender,NA,NA,NA,2021NEWENGLAND
2021,8/7/2021,NA,CASR 2021,saclash,https://fwango.io/saclash,X,NA,NA,NA,NA,NA,NA,SACLASH
2021,8/14/2021,X,Tour Stop,2021saltlakecity,https://fwango.io/2021saltlakecity,X,NA,Premier,Contender,NA,Women's,NA,2021SALTLAKECITY
2021,8/14/2021,X,Spikeball Sanctioned,bang2021,https://fwango.io/bang2021,X,NA,Premier,Contender,NA,NA,NA,BANG2021
2021,8/14/2021,X,Spikeball Sanctioned,bcra,https://fwango.io/bcra,X,NA,Advanced,NA,NA,Women's,NA,BCRA
2021,8/21/2021,X,Tour Stop,2021chicago,https://fwango.io/2021chicago,X,NA,Premier,Contender,NA,Women's,NA,2021CHICAGO
2021,8/28/2021,X,Spikeball Sanctioned,se-gainesville21,https://fwango.io/se-gainesville21,X,NA,Expert,NA,NA,Women's,NA,SE-GAINESVILLE21
2021,8/28/2021,NA,CASR 2021,turlock9,https://fwango.io/turlock9,X,NA,NA,NA,NA,NA,NA,TURLOCK9
2021,9/4/2021,X,Tour Stop,2021richmond,https://fwango.io/2021richmond,X,NA,Premier,Contender,NA,Women's,NA,2021RICHMOND
2021,9/7/2021,X,Spikeball Sanctioned,stillwatermajor2021,https://fwango.io/stillwatermajor2021,X,NA,Elite,NA,NA,NA,NA,STILLWATERMAJOR2021
2021,9/11/2021,X,Spikeball Sanctioned,houstonmajor2021,https://fwango.io/houstonmajor2021,X,NA,Premier,Contender,NA,NA,NA,HOUSTONMAJOR2021
2021,9/18/2021,X,Tour Stop,2021california,https://fwango.io/2021california,X,NA,Premier,Contender,NA,Women's Advanced,Women's Intermediate,2021CALIFORNIA
2021,9/25/2021,X,Spikeball Sanctioned,2021rexburg,https://fwango.io/2021rexburg,X,NA,Contender,NA,NA,Women's,NA,2021REXBURG
2021,9/25/2021,X,Spikeball Sanctioned,rotc2021-5,https://fwango.io/rotc2021-5,X,NA,Elite,NA,NA,Women's Advanced,NA,ROTC2021-5
2021,10/2/2021,X,Tour Stop,2021nationals,https://fwango.io/2021nationals,X,NA,Pro,Premier,Contender,Women's Advanced,Women's Intermediate,2021NATIONALS
2021,10/30/2021,NA,CASR 2021,rsmfg,https://fwango.io/rsmfg,X,NA,NA,NA,NA,NA,NA,RSMFG
2021,11/20/2021,NA,CASR 2021,sloel2,https://fwango.io/sloel2,X,NA,NA,NA,NA,NA,NA,SLOEL2
2021,12/18/2021,NA,CASR 2021,casrsf,https://fwango.io/casrsf,X,NA,NA,NA,NA,NA,NA,CASRSF
2022,1/15/2022,NA,USAR Sanctioned,usarkickoff,https://fwango.io/usarkickoff,X,NA,Open 5.0 (NHZ),Open 4.5 (NHZ),NA,Women's 4.0 (NHZ),Women's 2.0-3.0,USARKICKOFF
2022,2/19/2022,NA,CASR W/S Series 22,ocg1,https://fwango.io/ocg1,X,NA,NA,NA,NA,NA,NA,OCG1
2022,3/19/2022,NA,CASR W/S Series 22,sfg2,https://fwango.io/sfg2,X,NA,NA,NA,NA,NA,NA,SFG2
2022,4/2/2022,X,Challenger,sts22orlandofl,https://fwango.io/sts22orlandofl,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22ORLANDOFL
2022,4/7/2022,NA,CASR W/S Series 22,sdg3,https://fwango.io/sdg3,X,NA,NA,NA,NA,NA,NA,SDG3
2022,4/9/2022,X,Challenger,sts22richmondva,https://fwango.io/sts22richmondva,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22RICHMONDVA
2022,4/14/2022,X,USAR Sanctioned,2022-usar-nt-atl,https://fwango.io/2022-usar-nt-atl,X,NA,Men's 4.5-5.0+,NA,NA,Women's 4.5-5.0+,NA,2022-USAR-NT-ATL
2022,4/23/2022,X,Challenger,sts22dallastx,https://fwango.io/sts22dallastx,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22DALLASTX
2022,5/14/2022,X,Challenger,sts22seattlewa,https://fwango.io/sts22seattlewa,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,Women's Intermediate 2.0-3.0,STS22SEATTLEWA
