Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Premier 5.0+,Pool A,1,Single game,Rogue,Boat Carriers,Rogue,21,17,,,,,Thomas Hamilton,Ryan Marino,,Brayden Latham,Matthew Burrows,
Pool Play,Premier 5.0+,Pool A,1,Single game,Bad Combo,TRP Mermaid Sparkle,TRP Mermaid Sparkle,20,22,,,,,Rahul Murthy,Will Picone,,Christian Bennett,Noah Luskus,
Pool Play,Premier 5.0+,Pool B,1,Single game,Assistive Touch,MIDDS,Assistive Touch,21,16,,,,,Buddy Hammon,Clark Marshall,,Dawson Morgan,Caleb Cummings,
Pool Play,Premier 5.0+,Pool B,1,Single game,Insystem,Bot House,Insystem,21,19,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Owen Lippman,West Peterson,
Pool Play,Premier 5.0+,Pool C,1,Single game,TRP Spotless,Profit Boost,TRP Spotless,21,15,,,,,Joe Bondi,Ryan Gross,,Kieran Rose,Justin Shaytar,
Pool Play,Premier 5.0+,Pool C,1,Single game,GFD Grass Fed,Hilltop,GFD Grass Fed,21,14,,,,,Matthew Cole,Grant Klapwijk,,Max Model,Cole Model,
Pool Play,Premier 5.0+,Pool D,1,Single game,Judgment Day,Coastal Beans,Judgment Day,21,14,,,,,fredric hinkle,Gabriel Finocchi,,Brendan Ferreira,Coleman Epperson's,
Pool Play,Premier 5.0+,Pool D,1,Single game,GFD Critical Hit,Tube Steaks,GFD Critical Hit,21,18,,,,,Justin Barr,Vincent Mathieu,,Skyler Sebring,Emerson Dean,
Pool Play,Premier 5.0+,Pool E,1,Single game,CRO Fall Damage,Wilson/U’Wren,CRO Fall Damage,21,13,,,,,Tyler Babin,Chris Brown,,Jacob U'Wren,Eleazar Wilson,
Pool Play,Premier 5.0+,Pool E,1,Single game,GFD Rowgah,CRO backdoor?,GFD Rowgah,21,18,,,,,Brandon Arledge,David Gonzales,,Leonardo Tullo,Joshua Hachey,
Pool Play,Premier 5.0+,Pool F,1,Single game,GFD Wishy Washy,The Friend Bros,GFD Wishy Washy,21,11,,,,,Cole Maddox,Kyle Ackermann,,Josiah Friend,Judah Friend,
Pool Play,Premier 5.0+,Pool F,1,Single game,No Pressure,Super Awesome Spikers,No Pressure,21,14,,,,,Josh Hutko,Alex Newton,,Chris Kaptur,Max Fiebelkorn,
Pool Play,Premier 5.0+,Pool G,1,Single game,GFD Evasive Maneuvers,"BoilerBirds ",GFD Evasive Maneuvers,21,15,,,,,Michael Barkman,Jenson Miller,,Jack Bush,Colin Hobart,
Pool Play,Premier 5.0+,Pool G,1,Single game,PBR Dap & Snap,bang,PBR Dap & Snap,21,9,,,,,Jacob Arzaga,A.j. Martin,,Micah Bouman,Grayson M  Wills,
Pool Play,Premier 5.0+,Pool H,1,Single game,Autonomous,GFD MUNCHERS,Autonomous,21,18,,,,,Tyler Fernandez,Chase Meyer,,Brad Yates,Arjun Dhankani,
Pool Play,Premier 5.0+,Pool H,1,Single game,Defected,Clark/Porter,Clark/Porter,19,21,,,,,Calyn Kir,Reilly Paquette,,Adam Porter,Bradley Clark,
Pool Play,Premier 5.0+,Pool I,1,Single game,mexican food,Tossup,mexican food,21,10,,,,,Paq Clifford,Owen  Bass,,Brendan Reesor,Dylan Mark,
Pool Play,Premier 5.0+,Pool I,1,Single game,We Move,GFD Italian Buffet,GFD Italian Buffet,17,21,,,,,Nate Wilson,Clifford Amadeo LeVeque,,Tim Lacagnina,Joseph Caligiuri,
Pool Play,Premier 5.0+,Pool J,1,Single game,Glizzy Gladiators,JJ Dr. Jackal and Mr. Fried,Glizzy Gladiators,21,10,,,,,Jacob Summers,Polk Denmark,,James Ledbetter,Grant Marshall,
Pool Play,Premier 5.0+,Pool J,1,Single game,TBD,Highly Flammable ⚠️,TBD,21,13,,,,,Sean Brown,David Rowlands,,Drew Ryder,Frederik Theunis,
Pool Play,Premier 5.0+,Pool K,1,Single game,Bergman/Wilkins,upstairs don’t want it,upstairs don’t want it,17,21,,,,,Chris Wilkins,Neal Bergman,,Max Huang,Zach Bender,
Pool Play,Premier 5.0+,Pool K,1,Single game,Risky Business,Donner & Blitzen,Donner & Blitzen,20,22,,,,,Justin Kehoe,Kyle Fowler,,Liam Sherron,James Richmond,
Pool Play,Premier 5.0+,Pool L,1,Single game,GFD Shorter & Taller,W(ee)NYR Dawgs,GFD Shorter & Taller,21,19,,,,,Andrew Sullivan,Caleb Shorter,,Isaac Staats,Stephen Sweeney,
Pool Play,Premier 5.0+,Pool L,1,Single game,PBR Sleepy in Seattle,GFD Cleveland Cowboys,PBR Sleepy in Seattle,21,18,,,,,Brian Perlson,Michael Capobianco,,Daniel Patten,Levi Rogers,
Pool Play,Premier 5.0+,Pool M,1,Single game,Jersey Boyz,moist,Jersey Boyz,25,23,,,,,Corey Weiss,Matt Spolarich,,Tyler Cisek,PJ Showalter,
Pool Play,Premier 5.0+,Pool M,1,Single game,Glitch,GFD Undeterred,Glitch,21,17,,,,,Luke Nickel,Cody Dryer,,Ruben Zapata,Rob's Traveler,
Pool Play,Premier 5.0+,Pool N,1,Single game,Project Roundnet,GFD Pecan Pralines,Project Roundnet,21,15,,,,,Josh Esposo,Samuel Corey,,Jack W,Aleks Essen,
Pool Play,Premier 5.0+,Pool N,1,Single game,❤️ For Dolores ✝️,Hart/Garcea,❤️ For Dolores ✝️,21,15,,,,,Connor Prelich,kevin um,,Adrian Garcea,Jack Hart,
Pool Play,Premier 5.0+,Pool O,1,Single game,GFD Breakfast Balls,CRO Jungle Juice,GFD Breakfast Balls,21,10,,,,,Rendall Weaver,Henry Pilliod,,Kyle Jeung,Nathan Goh,
Pool Play,Premier 5.0+,Pool O,1,Single game,Limitless Faith,CRO 7s Coming,CRO 7s Coming,21,23,,,,,Andrew Raber,Ethan Domster,,Nicholas Puopolo,Eric Reinke,
Pool Play,Premier 5.0+,Pool P,1,Single game,Sparky Sparky Boom Men,Muscle Daddies  💪🏽,Sparky Sparky Boom Men,21,11,,,,,Sunny Gu,Connor Nelson,,Colin TOLENTINO,Jared Ang,
Pool Play,Premier 5.0+,Pool P,1,Single game,American Spikers League,Kenough,Kenough,16,21,,,,,Kaleb Wagner,Alex Hart (ASL),,Tommy Drake,Dennis Wei,
Pool Play,Premier 5.0+,Pool A,2,Single game,Rogue,TRP Mermaid Sparkle,Rogue,21,10,,,,,Thomas Hamilton,Ryan Marino,,Christian Bennett,Noah Luskus,
Pool Play,Premier 5.0+,Pool A,2,Single game,Bad Combo,Boat Carriers,Bad Combo,21,14,,,,,Rahul Murthy,Will Picone,,Brayden Latham,Matthew Burrows,
Pool Play,Premier 5.0+,Pool B,2,Single game,Assistive Touch,Bot House,Assistive Touch,21,18,,,,,Buddy Hammon,Clark Marshall,,Owen Lippman,West Peterson,
Pool Play,Premier 5.0+,Pool B,2,Single game,Insystem,MIDDS,Insystem,21,12,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Dawson Morgan,Caleb Cummings,
Pool Play,Premier 5.0+,Pool C,2,Single game,TRP Spotless,Hilltop,TRP Spotless,21,13,,,,,Joe Bondi,Ryan Gross,,Max Model,Cole Model,
Pool Play,Premier 5.0+,Pool C,2,Single game,GFD Grass Fed,Profit Boost,GFD Grass Fed,21,16,,,,,Matthew Cole,Grant Klapwijk,,Kieran Rose,Justin Shaytar,
Pool Play,Premier 5.0+,Pool D,2,Single game,Judgment Day,Tube Steaks,Judgment Day,21,14,,,,,fredric hinkle,Gabriel Finocchi,,Skyler Sebring,Emerson Dean,
Pool Play,Premier 5.0+,Pool D,2,Single game,GFD Critical Hit,Coastal Beans,GFD Critical Hit,21,16,,,,,Justin Barr,Vincent Mathieu,,Brendan Ferreira,Coleman Epperson's,
Pool Play,Premier 5.0+,Pool E,2,Single game,CRO Fall Damage,CRO backdoor?,CRO Fall Damage,21,18,,,,,Tyler Babin,Chris Brown,,Leonardo Tullo,Joshua Hachey,
Pool Play,Premier 5.0+,Pool E,2,Single game,GFD Rowgah,Wilson/U’Wren,GFD Rowgah,21,15,,,,,Brandon Arledge,David Gonzales,,Jacob U'Wren,Eleazar Wilson,
Pool Play,Premier 5.0+,Pool F,2,Single game,GFD Wishy Washy,Super Awesome Spikers,GFD Wishy Washy,21,16,,,,,Cole Maddox,Kyle Ackermann,,Chris Kaptur,Max Fiebelkorn,
Pool Play,Premier 5.0+,Pool F,2,Single game,No Pressure,The Friend Bros,No Pressure,21,17,,,,,Josh Hutko,Alex Newton,,Josiah Friend,Judah Friend,
Pool Play,Premier 5.0+,Pool G,2,Single game,GFD Evasive Maneuvers,bang,GFD Evasive Maneuvers,21,12,,,,,Michael Barkman,Jenson Miller,,Micah Bouman,Grayson M  Wills,
Pool Play,Premier 5.0+,Pool G,2,Single game,PBR Dap & Snap,"BoilerBirds ",PBR Dap & Snap,21,14,,,,,Jacob Arzaga,A.j. Martin,,Jack Bush,Colin Hobart,
Pool Play,Premier 5.0+,Pool H,2,Single game,Autonomous,Clark/Porter,Autonomous,21,19,,,,,Tyler Fernandez,Chase Meyer,,Adam Porter,Bradley Clark,
Pool Play,Premier 5.0+,Pool H,2,Single game,Defected,GFD MUNCHERS,Defected,21,17,,,,,Calyn Kir,Reilly Paquette,,Brad Yates,Arjun Dhankani,
Pool Play,Premier 5.0+,Pool I,2,Single game,mexican food,GFD Italian Buffet,mexican food,21,16,,,,,Paq Clifford,Owen  Bass,,Tim Lacagnina,Joseph Caligiuri,
Pool Play,Premier 5.0+,Pool I,2,Single game,We Move,Tossup,We Move,21,9,,,,,Nate Wilson,Clifford Amadeo LeVeque,,Brendan Reesor,Dylan Mark,
Pool Play,Premier 5.0+,Pool J,2,Single game,Glizzy Gladiators,Highly Flammable ⚠️,Glizzy Gladiators,21,15,,,,,Jacob Summers,Polk Denmark,,Drew Ryder,Frederik Theunis,
Pool Play,Premier 5.0+,Pool J,2,Single game,TBD,JJ Dr. Jackal and Mr. Fried,TBD,21,11,,,,,Sean Brown,David Rowlands,,James Ledbetter,Grant Marshall,
Pool Play,Premier 5.0+,Pool K,2,Single game,Bergman/Wilkins,Donner & Blitzen,Bergman/Wilkins,21,17,,,,,Chris Wilkins,Neal Bergman,,Liam Sherron,James Richmond,
Pool Play,Premier 5.0+,Pool K,2,Single game,Risky Business,upstairs don’t want it,Risky Business,21,18,,,,,Justin Kehoe,Kyle Fowler,,Max Huang,Zach Bender,
Pool Play,Premier 5.0+,Pool L,2,Single game,GFD Shorter & Taller,GFD Cleveland Cowboys,GFD Shorter & Taller,21,15,,,,,Andrew Sullivan,Caleb Shorter,,Daniel Patten,Levi Rogers,
Pool Play,Premier 5.0+,Pool L,2,Single game,PBR Sleepy in Seattle,W(ee)NYR Dawgs,PBR Sleepy in Seattle,24,22,,,,,Brian Perlson,Michael Capobianco,,Isaac Staats,Stephen Sweeney,
Pool Play,Premier 5.0+,Pool M,2,Single game,Jersey Boyz,GFD Undeterred,Jersey Boyz,21,18,,,,,Corey Weiss,Matt Spolarich,,Ruben Zapata,Rob's Traveler,
Pool Play,Premier 5.0+,Pool M,2,Single game,Glitch,moist,Glitch,21,18,,,,,Luke Nickel,Cody Dryer,,Tyler Cisek,PJ Showalter,
Pool Play,Premier 5.0+,Pool N,2,Single game,Project Roundnet,Hart/Garcea,Project Roundnet,23,21,,,,,Josh Esposo,Samuel Corey,,Adrian Garcea,Jack Hart,
Pool Play,Premier 5.0+,Pool N,2,Single game,❤️ For Dolores ✝️,GFD Pecan Pralines,❤️ For Dolores ✝️,21,17,,,,,Connor Prelich,kevin um,,Jack W,Aleks Essen,
Pool Play,Premier 5.0+,Pool O,2,Single game,GFD Breakfast Balls,CRO 7s Coming,GFD Breakfast Balls,22,20,,,,,Rendall Weaver,Henry Pilliod,,Nicholas Puopolo,Eric Reinke,
Pool Play,Premier 5.0+,Pool O,2,Single game,Limitless Faith,CRO Jungle Juice,Limitless Faith,21,16,,,,,Andrew Raber,Ethan Domster,,Kyle Jeung,Nathan Goh,
Pool Play,Premier 5.0+,Pool P,2,Single game,Sparky Sparky Boom Men,Kenough,Sparky Sparky Boom Men,21,17,,,,,Sunny Gu,Connor Nelson,,Tommy Drake,Dennis Wei,
Pool Play,Premier 5.0+,Pool P,2,Single game,American Spikers League,Muscle Daddies  💪🏽,Muscle Daddies  💪🏽,19,21,,,,,Kaleb Wagner,Alex Hart (ASL),,Colin TOLENTINO,Jared Ang,
Pool Play,Premier 5.0+,Pool A,3,Single game,Rogue,Bad Combo,Rogue,21,17,,,,,Thomas Hamilton,Ryan Marino,,Rahul Murthy,Will Picone,
Pool Play,Premier 5.0+,Pool A,3,Single game,TRP Mermaid Sparkle,Boat Carriers,TRP Mermaid Sparkle,21,11,,,,,Christian Bennett,Noah Luskus,,Brayden Latham,Matthew Burrows,
Pool Play,Premier 5.0+,Pool B,3,Single game,Assistive Touch,Insystem,Assistive Touch,21,15,,,,,Buddy Hammon,Clark Marshall,,Etienne Cote,Blake Bosak,Blake Bosak
Pool Play,Premier 5.0+,Pool B,3,Single game,Bot House,MIDDS,Bot House,21,18,,,,,Owen Lippman,West Peterson,,Dawson Morgan,Caleb Cummings,
Pool Play,Premier 5.0+,Pool C,3,Single game,TRP Spotless,GFD Grass Fed,TRP Spotless,21,14,,,,,Joe Bondi,Ryan Gross,,Matthew Cole,Grant Klapwijk,
Pool Play,Premier 5.0+,Pool C,3,Single game,Hilltop,Profit Boost,Hilltop,21,19,,,,,Max Model,Cole Model,,Kieran Rose,Justin Shaytar,
Pool Play,Premier 5.0+,Pool D,3,Single game,Judgment Day,GFD Critical Hit,Judgment Day,22,20,,,,,fredric hinkle,Gabriel Finocchi,,Justin Barr,Vincent Mathieu,
Pool Play,Premier 5.0+,Pool D,3,Single game,Tube Steaks,Coastal Beans,Coastal Beans,24,25,,,,,Skyler Sebring,Emerson Dean,,Brendan Ferreira,Coleman Epperson's,
Pool Play,Premier 5.0+,Pool E,3,Single game,CRO Fall Damage,GFD Rowgah,CRO Fall Damage,21,15,,,,,Tyler Babin,Chris Brown,,Brandon Arledge,David Gonzales,
Pool Play,Premier 5.0+,Pool E,3,Single game,CRO backdoor?,Wilson/U’Wren,CRO backdoor?,21,19,,,,,Leonardo Tullo,Joshua Hachey,,Jacob U'Wren,Eleazar Wilson,
Pool Play,Premier 5.0+,Pool F,3,Single game,GFD Wishy Washy,No Pressure,No Pressure,17,21,,,,,Cole Maddox,Kyle Ackermann,,Josh Hutko,Alex Newton,
Pool Play,Premier 5.0+,Pool F,3,Single game,Super Awesome Spikers,The Friend Bros,Super Awesome Spikers,21,19,,,,,Chris Kaptur,Max Fiebelkorn,,Josiah Friend,Judah Friend,
Pool Play,Premier 5.0+,Pool G,3,Single game,GFD Evasive Maneuvers,PBR Dap & Snap,GFD Evasive Maneuvers,21,17,,,,,Michael Barkman,Jenson Miller,,Jacob Arzaga,A.j. Martin,
Pool Play,Premier 5.0+,Pool G,3,Single game,bang,"BoilerBirds ",bang,21,16,,,,,Micah Bouman,Grayson M  Wills,,Jack Bush,Colin Hobart,
Pool Play,Premier 5.0+,Pool H,3,Single game,Autonomous,Defected,Autonomous,21,11,,,,,Tyler Fernandez,Chase Meyer,,Calyn Kir,Reilly Paquette,
Pool Play,Premier 5.0+,Pool H,3,Single game,Clark/Porter,GFD MUNCHERS,Clark/Porter,21,18,,,,,Adam Porter,Bradley Clark,,Brad Yates,Arjun Dhankani,
Pool Play,Premier 5.0+,Pool I,3,Single game,mexican food,We Move,mexican food,21,16,,,,,Paq Clifford,Owen  Bass,,Nate Wilson,Clifford Amadeo LeVeque,
Pool Play,Premier 5.0+,Pool I,3,Single game,GFD Italian Buffet,Tossup,GFD Italian Buffet,21,12,,,,,Tim Lacagnina,Joseph Caligiuri,,Brendan Reesor,Dylan Mark,
Pool Play,Premier 5.0+,Pool J,3,Single game,Glizzy Gladiators,TBD,Glizzy Gladiators,21,16,,,,,Jacob Summers,Polk Denmark,,Sean Brown,David Rowlands,
Pool Play,Premier 5.0+,Pool J,3,Single game,Highly Flammable ⚠️,JJ Dr. Jackal and Mr. Fried,Highly Flammable ⚠️,21,10,,,,,Drew Ryder,Frederik Theunis,,James Ledbetter,Grant Marshall,
Pool Play,Premier 5.0+,Pool K,3,Single game,Bergman/Wilkins,Risky Business,Bergman/Wilkins,21,13,,,,,Chris Wilkins,Neal Bergman,,Justin Kehoe,Kyle Fowler,
Pool Play,Premier 5.0+,Pool K,3,Single game,Donner & Blitzen,upstairs don’t want it,Donner & Blitzen,21,18,,,,,Liam Sherron,James Richmond,,Max Huang,Zach Bender,
Pool Play,Premier 5.0+,Pool L,3,Single game,GFD Shorter & Taller,PBR Sleepy in Seattle,GFD Shorter & Taller,21,17,,,,,Andrew Sullivan,Caleb Shorter,,Brian Perlson,Michael Capobianco,
Pool Play,Premier 5.0+,Pool L,3,Single game,GFD Cleveland Cowboys,W(ee)NYR Dawgs,GFD Cleveland Cowboys,21,18,,,,,Daniel Patten,Levi Rogers,,Isaac Staats,Stephen Sweeney,
Pool Play,Premier 5.0+,Pool M,3,Single game,Jersey Boyz,Glitch,Jersey Boyz,21,19,,,,,Corey Weiss,Matt Spolarich,,Luke Nickel,Cody Dryer,
Pool Play,Premier 5.0+,Pool M,3,Single game,GFD Undeterred,moist,moist,16,21,,,,,Ruben Zapata,Rob's Traveler,,Tyler Cisek,PJ Showalter,
Pool Play,Premier 5.0+,Pool N,3,Single game,Project Roundnet,❤️ For Dolores ✝️,❤️ For Dolores ✝️,19,21,,,,,Josh Esposo,Samuel Corey,,Connor Prelich,kevin um,
Pool Play,Premier 5.0+,Pool N,3,Single game,Hart/Garcea,GFD Pecan Pralines,GFD Pecan Pralines,17,21,,,,,Adrian Garcea,Jack Hart,,Jack W,Aleks Essen,
Pool Play,Premier 5.0+,Pool O,3,Single game,GFD Breakfast Balls,Limitless Faith,GFD Breakfast Balls,23,21,,,,,Rendall Weaver,Henry Pilliod,,Andrew Raber,Ethan Domster,
Pool Play,Premier 5.0+,Pool O,3,Single game,CRO 7s Coming,CRO Jungle Juice,CRO 7s Coming,23,21,,,,,Nicholas Puopolo,Eric Reinke,,Kyle Jeung,Nathan Goh,
Pool Play,Premier 5.0+,Pool P,3,Single game,Sparky Sparky Boom Men,American Spikers League,Sparky Sparky Boom Men,21,16,,,,,Sunny Gu,Connor Nelson,,Kaleb Wagner,Alex Hart (ASL),
Pool Play,Premier 5.0+,Pool P,3,Single game,Kenough,Muscle Daddies  💪🏽,Kenough,21,17,,,,,Tommy Drake,Dennis Wei,,Colin TOLENTINO,Jared Ang,
